2.144.0.0,2.147.255.255,262144,22/10/10,Iran Cell Service and Communication Company
2.176.0.0,2.191.255.255,1048576,18/10/10,Information Technology Company (ITC)
5.22.0.0,5.22.127.255,32768,03/05/12,Mobile Communication Company of Iran PLC
5.34.192.0,5.34.207.255,4096,11/05/12,Fanap - Passargad Arian Information & communication Tehchnology
5.52.0.0,5.52.255.255,65536,25/05/12,Mobile Communication Company of Iran PLC
5.53.32.0,5.53.63.255,8192,29/05/12,Iran Telecommunication Company PJS
5.62.160.0,5.62.191.255,8192,11/06/12,Iran Telecommunication Company PJS
5.62.192.0,5.62.255.255,16384,11/06/12,"Rightel Communication Service Company PJS"
5.72.0.0,5.72.255.255,65536,11/06/12,"Rightel Communication Service Company PJS"
5.73.0.0,5.73.255.255,65536,11/06/12,"Rightel Communication Service Company PJS"
5.74.0.0,5.74.255.255,65536,11/06/12,Iran Telecommunication Company PJS
5.75.0.0,5.75.127.255,32768,11/06/12,Iran Telecommunication Company PJS
5.106.0.0,5.106.255.255,65536,28/06/12,Mobile Communication Company of Iran PLC
5.112.0.0,5.127.255.255,1048576,29/06/12,Iran Cell Service and Communication Company
5.134.128.0,5.134.191.255,16384,10/07/12,"Rightel Communication Service Company PJS"
5.160.0.0,5.160.255.255,65536,25/07/12,Respina Networks & Beyond PJSC
5.190.0.0,5.190.255.255,65536,13/08/12,Iran Telecommunication Company PJS
5.198.160.0,5.198.191.255,8192,27/08/12,Iran Telecommunication Company PJS
5.200.64.0,5.200.95.255,8192,30/08/12,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS
5.200.96.0,5.200.127.255,8192,30/08/12,"Rightel Communication Service Company PJS"
5.200.128.0,5.200.255.255,32768,29/08/12,Iran Telecommunication Company PJS
5.201.128.0,5.201.191.255,16384,29/08/12,Mobin Net Communication Company (Private Joint Stock)
5.201.192.0,5.201.255.255,16384,29/08/12,Mobile Communication Company of Iran PLC
5.202.0.0,5.202.255.255,65536,29/08/12,Pishgaman Toseeh Ertebatat Company (Private Joint Stock)
5.208.0.0,5.209.255.255,131072,04/09/12,Mobile Communication Company of Iran PLC
5.210.0.0,5.210.255.255,65536,04/09/12,Mobile Communication Company of Iran PLC
5.211.0.0,5.211.255.255,65536,04/09/12,Mobile Communication Company of Iran PLC
5.212.0.0,5.213.255.255,131072,04/09/12,Mobile Communication Company of Iran PLC
5.214.0.0,5.215.255.255,131072,04/09/12,Mobile Communication Company of Iran PLC
5.216.0.0,5.217.255.255,131072,04/09/12,Mobile Communication Company of Iran PLC
5.218.0.0,5.218.255.255,65536,04/09/12,Mobile Communication Company of Iran PLC
5.219.0.0,5.219.63.255,16384,04/09/12,Iran Telecommunication Company PJS
5.219.64.0,5.219.127.255,16384,04/09/12,Iran Telecommunication Company PJS
5.219.128.0,5.219.191.255,16384,04/09/12,Iran Telecommunication Company PJS
5.219.192.0,5.219.255.255,16384,04/09/12,Iran Telecommunication Company PJS
5.220.0.0,5.223.255.255,262144,04/09/12,GOSTARESH-E-ERTEBATAT-E MABNA COMPANY (Private Joint Stock)
5.232.0.0,5.239.255.255,524288,07/09/12,Iran Telecommunication Company PJS
5.250.0.0,5.250.127.255,32768,13/09/12,Mobile Communication Company of Iran PLC
31.2.128.0,31.2.255.255,32768,05/04/11,Mobile Communication Company of Iran PLC
31.7.64.0,31.7.79.255,4096,11/04/11,Asiatech Data Transmission company
31.7.96.0,31.7.127.255,8192,11/04/11,Iran Telecommunication Company PJS
31.7.128.0,31.7.143.255,4096,13/04/11,Aryan Satellite Co. (Private Joint Stock)
31.14.80.0,31.14.95.255,4096,18/04/11,Iran Telecommunication Company PJS
31.14.112.0,31.14.127.255,4096,18/04/11,Afranet
31.14.144.0,31.14.159.255,4096,18/04/11,Iran Telecommunication Company PJS
31.47.32.0,31.47.63.255,8192,21/03/11,Afranet
31.56.0.0,31.59.255.255,262144,28/01/11,Aria Shatel Company Ltd
31.130.176.0,31.130.191.255,4096,05/05/11,
31.170.48.0,31.170.63.255,4096,30/03/11,Farahoosh Dena PLC
31.184.128.0,31.184.191.255,16384,01/03/11,GOSTARESH-E-ERTEBATAT-E MABNA COMPANY (Private Joint Stock)
37.19.80.0,37.19.95.255,4096,22/12/11,Farabord Dadeh Haye Iranian Co.
37.32.0.0,37.32.31.255,8192,02/01/12,Noyan Abr Arvan Co. ( Private Joint Stock)
37.32.112.0,37.32.127.255,4096,03/01/12,Rayaneh Pardazan Baran Co. Ltd.
37.63.128.0,37.63.255.255,32768,23/01/12,Mobile Communication Company of Iran PLC
37.98.0.0,37.98.127.255,32768,06/02/12,Mobile Communication Company of Iran PLC
37.114.192.0,37.114.255.255,16384,10/02/12,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS
37.129.0.0,37.129.255.255,65536,20/02/12,Mobile Communication Company of Iran PLC
37.137.0.0,37.137.255.255,65536,22/02/12,"Rightel Communication Service Company PJS"
37.148.0.0,37.148.127.255,32768,02/03/12,Aria Shatel Company Ltd
37.152.160.0,37.152.175.255,4096,12/03/12,Rahanet Zanjan Co. (Private Joint-Stock)
37.152.176.0,37.152.191.255,4096,12/03/12,Noyan Abr Arvan Co. ( Private Joint Stock)
37.153.176.0,37.153.191.255,4096,13/03/12,"Rightel Communication Service Company PJS"
37.156.16.0,37.156.31.255,4096,13/03/12,Mobin Net Communication Company (Private Joint Stock)
37.156.48.0,37.156.63.255,4096,13/03/12,"Rightel Communication Service Company PJS"
37.156.112.0,37.156.127.255,4096,13/03/12,Iran Telecommunication Company PJS
37.156.128.0,37.156.143.255,4096,13/03/12,Iran Telecommunication Company PJS
37.191.64.0,37.191.95.255,8192,21/03/12,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS
37.202.128.0,37.202.255.255,32768,23/03/12,Aria Shatel Company Ltd
37.221.0.0,37.221.63.255,16384,05/04/12,Farabord Dadeh Haye Iranian Co.
37.235.16.0,37.235.31.255,4096,16/04/12,Farabord Dadeh Haye Iranian Co.
37.254.0.0,37.255.255.255,131072,19/04/12,Iran Telecommunication Company PJS
